solution,best_heuristic,second_best_heuristic
0110101000,LH1,LH3
1100010001,LH1,LH3
1010001001,LH3,LH4
0000011101,LH2,LH3
0000110011,LH1,LH2
1101000100,LH3,LH4
1110000010,LH1,LH3
1000110010,LH1,LH2
1010110000,LH1,LH3
0110010010,LH3,LH4
0001100110,LH1,LH3
0001001011,LH1,LH3
0001110100,LH3,LH4
1001001100,LH3,LH4
0000110101,LH3,LH4
0011010100,LH3,LH4
0100100110,LH3,LH4
0111000001,LH1,LH3
0010010110,LH3,LH4
0100101100,LH2,LH3
1110010000,LH3,LH4
1011100000,LH2,LH3
1100001100,LH1,LH3
1001101000,LH1,LH2
1000101010,LH1,LH2
1000000111,LH1,LH2
0011001100,LH3,LH4
1000110010,LH3,LH4
1100010001,LH3,LH4
0101000110,LH1,LH3
0101000110,LH1,LH3
0010101010,LH2,LH3
0001111000,LH1,LH2
1000010110,LH2,LH4
0010010101,LH3,LH4
1111000000,LH3,LH4
1001000011,LH1,LH3
0010110100,LH1,LH3
1001100010,LH2,LH3
0011011000,LH1,LH2
1100000110,LH1,LH3
0000011110,LH4,LH1
0100011100,LH1,LH3
0011010100,LH1,LH3
0110000011,LH3,LH4
0111000100,LH1,LH3
1010100100,LH3,LH4
1001010001,LH1,LH3
1100110000,LH2,LH4
1000100110,LH1,LH3
1000011001,LH3,LH4
0110000011,LH1,LH3
1100000011,LH1,LH3
0011000110,LH3,LH4
1010010001,LH1,LH2
0010110001,LH1,LH3
1100001100,LH2,LH3
1110000001,LH3,LH4
0100110100,LH1,LH3
1001001001,LH1,LH3
0001110100,LH1,LH2
0000111010,LH3,LH4
1011010000,LH3,LH4
1100000101,LH1,LH3
0010011001,LH3,LH4
0111000100,LH3,LH4
1001100100,LH3,LH4
1101000001,LH3,LH4
0000001111,LH1,LH2
0011010010,LH2,LH3
1011000001,LH3,LH4
1010110000,LH1,LH3
1010001010,LH3,LH4
0000111010,LH1,LH3
1110000010,LH3,LH4
1101100000,LH1,LH3
0101001010,LH3,LH4
0101100010,LH1,LH3
1001110000,LH3,LH4
1001010001,LH3,LH4
0101100100,LH3,LH4
0011000110,LH3,LH4
0110000110,LH1,LH3
0110000011,LH3,LH4
0011000101,LH1,LH3
0101011000,LH1,LH2
0001001110,LH3,LH4
0001011001,LH3,LH4
1000000111,LH1,LH2
1110010000,LH3,LH4
1011000001,LH2,LH3
1010001001,LH3,LH4
1101010000,LH2,LH3
0001011001,LH3,LH4
0001010011,LH1,LH3
1001000110,LH3,LH4
1101000100,LH1,LH3
0000111010,LH3,LH4
1110000001,LH3,LH4
0000101011,LH3,LH4
0001010011,LH3,LH4
0001110100,LH3,LH4
1110000001,LH1,LH3
1001100100,LH3,LH4
0100010101,LH1,LH3
0001110010,LH3,LH4
0011100100,LH1,LH2
1010101000,LH3,LH4
0000101101,LH1,LH3
1100011000,LH3,LH4
0110100001,LH1,LH3
0001011100,LH1,LH2
1100001010,LH3,LH4
0010111000,LH4,LH3
1000100011,LH3,LH4
0111000100,LH1,LH3
1000001110,LH4,LH3
0001101100,LH3,LH4
1110000001,LH2,LH3
0010101010,LH3,LH4
0001110100,LH2,LH3
0010110001,LH2,LH3
1100101000,LH1,LH3
0111000100,LH3,LH4
0111100000,LH2,LH3
0101000011,LH1,LH3
0001111000,LH2,LH4
1100110000,LH4,LH1
0000111100,LH1,LH3
0001011010,LH4,LH1
1000110001,LH1,LH3
0010101100,LH1,LH3
0110100100,LH1,LH2
0011000011,LH1,LH3
1010110000,LH3,LH4
0011011000,LH1,LH3
0101010001,LH3,LH4
0100101010,LH1,LH3
